survived,pclass,sex,fare,familySize,embarked,age
1,1,female,211.3375,0,S,29.0
1,1,male,151.55,3,S,0.92
0,1,female,151.55,3,S,2.0
0,1,male,151.55,3,S,30.0
0,1,female,151.55,3,S,25.0
1,1,male,26.55,0,S,48.0
1,1,female,77.9583,1,S,63.0
0,1,male,0.0,0,S,39.0
1,1,female,51.4792,2,S,53.0
0,1,male,49.5042,0,C,71.0
0,1,male,227.525,1,C,47.0
1,1,female,227.525,1,C,18.0
1,1,female,69.3,0,C,24.0
1,1,female,78.85,0,S,26.0
1,1,male,30.0,0,S,80.0
0,1,male,25.925,0,S,
0,1,male,247.5208,1,C,24.0
1,1,female,247.5208,1,C,50.0
1,1,female,76.2917,0,C,32.0
0,1,male,75.2417,0,C,36.0
1,1,male,52.5542,2,S,37.0
1,1,female,52.5542,2,S,47.0
1,1,male,30.0,0,C,26.0
1,1,female,227.525,0,C,42.0
1,1,female,221.7792,0,S,29.0
0,1,male,26.0,0,C,25.0
1,1,male,91.0792,1,C,25.0
1,1,female,91.0792,1,C,19.0
1,1,female,135.6333,0,S,35.0
1,1,male,26.55,0,S,28.0
0,1,male,35.5,0,S,45.0
1,1,male,31.0,0,C,40.0
1,1,female,164.8667,0,S,30.0
1,1,female,26.55,0,S,58.0
0,1,male,26.55,0,S,42.0
1,1,female,262.375,0,C,45.0
1,1,female,55.0,1,S,22.0
1,1,male,26.55,0,S,
0,1,male,30.5,0,S,41.0
0,1,male,50.4958,0,C,48.0
0,1,male,39.6,0,C,
1,1,female,27.7208,0,C,44.0
1,1,female,51.4792,2,S,59.0
1,1,female,76.2917,0,C,60.0
1,1,female,134.5,0,C,41.0
0,1,male,26.55,0,S,45.0
0,1,male,31.0,0,S,
1,1,male,26.2875,0,S,42.0
1,1,female,27.4458,0,C,53.0
1,1,male,512.3292,1,C,36.0
1,1,female,512.3292,1,C,58.0
0,1,male,5.0,0,S,33.0
0,1,male,47.1,0,S,28.0
0,1,male,47.1,0,S,17.0
1,1,male,120.0,3,S,11.0
1,1,female,120.0,3,S,14.0
1,1,male,120.0,3,S,36.0
1,1,female,120.0,3,S,36.0
0,1,male,26.0,0,S,49.0
1,1,female,27.7208,0,C,
0,1,male,78.85,1,S,36.0
1,1,female,78.85,1,S,76.0
0,1,male,61.175,1,S,46.0
1,1,female,61.175,1,S,47.0
1,1,male,53.1,1,S,27.0
1,1,female,53.1,1,S,33.0
1,1,female,262.375,0,C,36.0
1,1,female,86.5,0,S,30.0
1,1,male,29.7,0,C,45.0
1,1,female,55.0,1,S,
0,1,male,0.0,0,S,
